Bulbasaur,Grass,Overgrow,Water
Ivysaur,Grass,Overgrow,Water
Venusaur,Grass,Overgow,Water
Charmander,Fire,Blaze,Grass
Charmeleon,Fire,Blaze,Grass
Charizard,Fire,Blaze,Grass
Squirtle,Water,Torrent,Fire
Wartortle,Water,Torrent,Fire
Blastoise,Water,Torrent,Fire
Caterpie,Bug,Dust,Grass
Metapod,Bug,Dust,Grass
Butterfree,Bug,Dust,Grass
Weedle,Bug,Dust,Grass
Kakuna,Bug,Dust,Grass
Beedrill,Bug,Swarm,Grass
Pidgey,Normal,Peck,None
Pidgeotto,Normal,Peck,None
Pidgeot,Normal,Peck,None
Rattata,Normal,Tackle,None
Raticate,Normal,Tackle,None
Spearow,Normal,Slash,None
Fearow,Normal,Slash,None
Ekans,Poison,Poison,Grass
Arbok,Poison,Poison,Grass
Pikachu,Electric,Thunderbolt,Water
Raichu,Electric,Thunderbolt,Water
Sandshrew,Ground,Sandstorm,Fire
Sandslash,Ground,Sandstorm,Fire
Nidoran,Poison,Poison,Grass
Nidorina,Poison,Poison,Grass
Nidoqueen,Poison,Poison,Grass
Nidoran,Poison,Poison,Grass
Nidorino,Poison,Poison,Grass
Nidoking,Poison,Poison,Grass
Clefairy,Fairy,Charm,Fighting
Clefable,Fairy,Charm,Fighting
Vulpix,Fire,Blaze,Grass
Ninetales,Fire,Blaze,Grass
Jigglypuff,Normal,Charm,None
Wigglytuff,Normal,Charm,None
Zubat,Poison,Toxic,Grass
Golbat,Poison,Toxic,Grass
Oddish,Grass,Chlorophyll,Water
Gloom,Grass,Chlorophyll,Water
Vileplume,Grass,Chlorophyll,Water
Paras,Bug,Spore,Grass
Parasect,Bug,Spore,Grass
Venonat,Bug,Spore,Grass
Venomoth,Bug,Spore,Grass
Diglett,Ground,Dig,Fire
Dugtrio,Ground,Dig,Fire
Meowth,Normal,Claw,None
Persian,Normal,Claw,None
Psyduck,Water,Pump,Fire
Golduck,Water,Pump,Fire
Mankey,Fighting,Punch,Normal
Primeape,Fighting,Punch,Normal
Growlithe,Fire,Fire Fang,Grass
Arcanine,Fire,Fire Fang,Grass
Poliwag,Water,Aqua Punch,Fire
Poliwhirl,Water,Aqua Punch,Fire
Poliwrath,Water,Aqua Punch,Fire
Abra,Psychic,Psychic,Fighting
Kadabra,Psychic,Psychic,Fighting
Alakazam,Psychic,Psychic,Fighting
Machop,Fighting,Fury Fist,Normal
Machoke,Fighting,Fury Fist,Normal
Machamp,Fighting,Fury Fist,Normal
Bellsprout,Grass,Solar Beam,Water
Weepinbell,Grass,Solar Beam,Water
Victreebel,Grass,Solar Beam,Water
Tentacool,Water,Water Beam,Fire
Tentacruel,Water,Water Beam,Fire
Geodude,Rock,Rock Smash,Fire
Graveler,Rock,Rock Smash,Fire
Golem,Rock,Rock Smash,Fire
Ponyta,Fire,Fire Blast,Grass
Rapidash,Fire,Fire Blast,Grass
Slowpoke,Water,Water Pump,Fire
Slowbro,Water,Water Pump,Fire
Magnemite,Electric,Water Pump,Fire
Magneton,Electric,Thunder,Water
Farfetch'd,Normal,Club,None
Doduo,Normal,Strike,None
Dodrio,Normal,Strike,None
Seel,Water,Hydro Pump,Fire
Dewgong,Water,Hydro Pump,Fire
Grimer,Poison,Sludge Bomb,Grass
Muk,Poison,Sludge Bomb,Grass
Shellder,Water,Water Gun,Fire
Cloyster,Water,Water Gun,Fire
Gastly,Ghost,Soul Grasp,Psychic
Haunter,Ghost,Soul Grasp,Psychic
Gengar,Ghost,Soul Grasp,Psychic
Onix,Rock,Rockslide,Fire
Drowzee,Psychic,Psychic,Fighting
Hypno,Psychic,Psychic,Fighting
Krabby,Water,Water Claw,Fire
Kingler,Water,Water Claw,Fire
Voltorb,Electric,Orb Fall,Water
Electrode,Electric,Orb Fall,Water
Exeggcute,Grass,Egg Bomb,Water
Exeggutor,Grass,Egg Bomb,Water
Cubone,Ground,Bone Throw,Fire
Marowak,Ground,Bone Throw,Fire
Hitmonlee,Fighting,Kick,Normal
Hitmonchan,Fighting,Kick,Normal
Lickitung,Normal,Lick,None
Koffing,Poison,Poison,Grass
Weezing,Poison,Poison,Grass
Rhyhorn,Ground,Horn Attack,Fire
Rhydon,Ground,Horn Attack,Fire
Chansey,Normal,Sit,None
Tangela,Grass,Grass Punch,Water
